WEEK,MOVE1,MOVE2,MOVE3,MOVE4,MOVE5,MOVE6,MOVE7,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,LPRICE1,LPRICE2,LPRICE3,LPRICE4,LPRICE5,LPRICE6,LPRICE7,LWHPRIC1,LWHPRIC2,LWHPRIC3,LWHPRIC4,LWHPRIC5,LWHPRIC6,LWHPRIC7,FULLCUST
1,20347,7152,2722,6795,2161,617,7940,0,0,0,0,0,0,0,-0.090138569,-0.122673649,0.5755584775,-0.115039225,0.4568242608,1.2242972776,-0.206610346,-0.510452089,-0.505078052,0.2080470765,-0.496614141,0.120412492,1.0162852456,-0.600707058,1744126.375
2,44351,30335,2598,5483,1981,515,4336,0,0,0,0,0,0,0,-0.283314594,-0.287682072,0.573771725,-0.11773128,0.4544686983,1.2237643832,-0.208950487,-0.510452622,-0.50993699,0.3618706351,-0.49679755,0.120414134,1.0162870403,-0.600994568,1861445
3,25177,9114,2628,14880,2750,565,5619,0,0,0,0,0,0,0,-0.283481741,-0.12441308,0.5724700192,-0.251293306,0.4536204996,1.2230939009,-0.210267664,-0.510450442,-0.53301879,0.3618717255,-0.496517712,0.1204147253,1.0166567568,-0.601231444,1783348.75
4,11032,10973,2680,9827,4104,591,24322,0,0,0,0.2298545285,1,0,1,-0.084545216,-0.287682072,0.5737890815,-0.251526918,0.3629118495,1.2229763013,-0.376196313,-0.510447411,-0.532998343,0.3618706206,-0.49673228,0.1204169335,1.0166548147,-0.64792288,1831941.625
5,77269,4649,2592,8159,3960,550,4031,1,0,0,0,1,0,0,-0.371063681,-0.124420994,0.5692096404,-0.118471461,0.3606222703,1.2206562527,-0.209242994,-0.510420075,-0.537744811,0.3618744564,-0.496783658,0.1204180682,1.0166573287,-0.640591324,1818942.625
6,9495,5286,2488,17778,3077,524,5490,0,0,0,1,0,0,0,-0.082918502,-0.117209106,0.5721063018,-0.277990444,0.3630180739,1.2231508205,-0.203040277,-0.510445553,-0.537736427,0.3660392304,-0.496717309,0.0188416933,1.0203193757,-0.640479878,1742907
7,9162,6252,2688,18943,1998,548,6386,0,0,0,0.2308907634,0,0,0,-0.083536826,-0.11895008,0.5720618955,-0.278133537,0.452833732,1.2224807799,-0.217874067,-0.510443725,-0.537735318,0.3660392574,-0.496705861,0.0188388561,1.020319771,-0.653226392,1893556
8,53279,5951,2878,10053,2076,640,5900,0,0,0,1,0,0,0,-0.287682072,-0.115950712,0.5718856541,-0.278057088,0.452783194,1.2226460564,-0.21320336,-0.510428809,-0.537721008,0.3589775485,-0.496703047,0.0149330831,1.0144862212,-0.653262729,1840299
9,11136,7344,2798,9442,2192,611,11309,0,0,0,0,0,0,0,-0.086621789,-0.118996882,0.5715131109,-0.114624855,0.4522040232,1.221642651,-0.218473148,-0.510447305,-0.53772623,0.3590407989,-0.496749839,0.014933265,1.014486927,-0.653228041,1734400
10,9127,7008,2996,12497,2088,599,13349,0,0,0,0.2276669524,0,0,1,-0.088991944,-0.123284151,0.5734793812,-0.150006063,0.4538410281,1.2230133145,-0.299223261,-0.51045339,-0.537718875,0.3590579354,-0.496794347,0.0139067956,1.0144858368,-0.65324672,2136443
11,19938,4266,1833,5352,1898,368,6108,0,0,0,0,0,0,0.6701450989,-0.250258633,-0.120953595,0.5726762732,-0.147592169,0.4527444154,1.2232590923,-0.29634289,-0.510476392,-0.53771547,0.354754455,-0.496843305,0.0139064279,1.0072256151,-0.653292396,1603082
12,13781,92073,2557,9158,3412,580,9554,0,1,0,0.2306781722,0,0,1,-0.090236753,-0.376086521,0.5704720694,-0.149089679,0.3461366033,1.2216344113,-0.296717518,-0.510475562,-0.483531104,0.3547862355,-0.496737444,0.0139321016,1.0072235854,-0.576215509,1753754
13,13826,6009,2320,9838,2843,495,9368,0,0,0,0.2317983864,1,0,1,-0.175332242,-0.123811856,0.5719214548,-0.15008581,0.3465004988,1.2231511503,-0.297858829,-0.510437761,-0.453904071,0.3542162909,-0.496718488,0.0139324583,1.0072244584,-0.576215888,1784001
14,15943,6628,2528,11348,2274,536,9846,0.7908256838,0,0,0,0,0,0.3518149842,-0.17581954,-0.123636625,0.5719712064,-0.149719351,0.3465794729,1.2231489796,-0.298571732,-0.510443076,-0.480291093,0.3542066239,-0.496754148,0.0139325357,1.0072247086,-0.576215503,2069112
15,11842,4434,2038,8043,1195,398,5505,0.2093621229,0,0,0,0,0,0,-0.171690797,-0.117969153,0.5720107359,-0.145696207,0.4528901431,1.2233961745,-0.21822786,-0.510441212,-0.471306822,0.3541970481,-0.496762081,0.0139064767,1.0072251372,-0.576235603,1793829
16,16845,5705,2429,10075,1652,540,6731,0.7671958671,0,0,0.2261228747,0,0,0,-0.171476942,-0.11963354,0.5705085477,-0.145393135,0.4513591241,1.2219529756,-0.217539658,-0.510403018,-0.471280437,0.3542155082,-0.496818827,0.0139059633,1.0072234022,-0.591228541,1786344
17,149963,4054,2925,3818,1976,529,4421,0,0,0,0.2587841119,0,0,0,-0.287682072,-0.125156799,0.569362261,-0.157528621,0.450407045,1.2205648368,-0.22380543,-0.474974641,-0.522201166,0.3542052941,-0.496230039,0.0139056441,1.0072230177,-0.594184876,1681072
18,7756,7872,2827,8956,1964,582,140235,0,0,0,0,0,0,1,-0.09271435,-0.126577082,0.5711896881,-0.120320129,0.4521989367,1.222021998,-0.713349888,-0.474686659,-0.523133678,0.3542000831,-0.524202743,0.0139062449,1.007223396,-0.848597037,1704080
19,7564,11231,2997,50011,2017,595,9930,0,0.6949674397,0,0,0,0,0,-0.08821889,-0.247981332,0.5706072675,-0.371063681,0.4512788769,1.2223629456,-0.220936548,-0.464844604,-0.523204787,0.3542138488,-0.524291101,0.0139059364,1.0072236895,-0.582214793,1749835
20,10447,9651,2992,25383,2227,604,15535,0,0.695472091,0,0,0,0,0,-0.086735638,-0.248445527,0.5716464376,-0.371063681,0.4525019998,1.2223572662,-0.312073477,-0.464780326,-0.404205849,0.3529268548,-0.524338205,0.0139063466,1.0072242849,-0.582236938,1857926
21,9371,8356,3091,20049,1987,724,14492,0,0.6943795063,0,0.7706866334,0,0,0.647139789,-0.096923325,-0.248826646,0.5712496624,-0.371063681,0.4063926392,1.2217307332,-0.317544426,-0.464578347,-0.404937779,0.3529284432,-0.524317809,0.013865431,1.0072238294,-0.582231314,1841071
22,9288,5304,2655,11275,2179,644,15461,0,0,0,0,0,0,1,-0.090235111,-0.119849278,0.5720902105,-0.259288381,0.4072412984,1.2227064176,-0.3140542,-0.464557237,-0.488437958,0.3529246176,-0.524196931,0.0237103003,1.0072244247,-0.582241068,1859444
23,15656,11725,2979,6664,3001,800,21093,0,0,0,0,0,0,1,-0.094607581,-0.123596675,0.5713747984,-0.117907852,0.4064233166,1.2221151093,-0.316025964,-0.46469767,-0.499920717,0.3529284106,-0.524273269,0.0237102192,1.0072241717,-0.582240469,1811747
24,11734,338586,3513,3353,8094,815,6091,0,0,0,0,1,0,0.3439412614,-0.098438038,-0.252128707,0.5699108026,-0.120659303,0.3293037471,1.2212681337,-0.31655308,-0.46452533,-0.511998467,0.3529262284,-0.52466381,0.0237292218,1.0072231563,-0.582215116,1704668
25,148858,4102,6173,4227,4531,921,4119,0,0,1,0,1,1,0,-0.527632742,-0.121326717,0.4637340162,-0.11541842,0.3293037471,1.1857093521,-0.314618437,-0.573650249,-0.512481606,0.1782091595,-0.524460098,0.0237292218,0.9388734585,-0.582187884,1774193
26,31296,3381,4988,130036,3341,730,2827,0.2151055831,0,0.7753405144,0.7711356558,1,1,0,-0.527632742,-0.123964633,0.4637340162,-0.527632742,0.3293037471,1.1851551698,-0.315860689,-0.573627155,-0.530770465,0.1782065884,-0.539066287,0.0237292218,0.9388743923,-0.582121988,1783720
27,117735,2932,4339,12212,3139,607,3707,0.2086807542,0,0.7759209392,1,1,0,1,-0.371063681,-0.118983086,0.4637340162,-0.527632742,0.3154521791,1.2221591845,-0.313302168,-0.487500285,-0.553030982,0.1736716586,-0.539744606,0.0236807378,0.9388547583,-0.582195917,1861516
28,33246,11590,4538,3740,3218,595,10310,0,0,0.7740884663,0,1,0,1,-0.371063681,-0.121801232,0.4770777769,-0.11365258,0.3151041093,1.2215216457,-0.377493487,-0.513679218,-0.553014017,0.1736410092,-0.515685701,0.0236809958,0.9388542379,-0.582240064,1801250
29,6779,66123,4192,2775,3128,557,5605,0,1,0,0,1,0,0,-0.095595474,-0.407285497,0.4771015816,-0.11006805,0.3155500532,1.2220298035,-0.377315603,-0.513475913,-0.543098627,0.1737505317,-0.515715582,0.0236806653,0.9388547671,-0.582230495,1797034
30,14681,19824,4016,4748,3411,686,4305,0.2252382783,0.3035110082,1,0,1,0,0,-0.250258022,-0.405465108,0.4769167881,-0.114297263,0.31474814,1.2212614085,-0.221807069,-0.518444485,-0.542950694,0.1736412199,-0.515753687,0.0236812596,0.9388538637,-0.582174192,2020259
31,14649,13705,4043,14353,2491,1202,4424,1,0.6964306319,1,0.2307165683,1,0,0,-0.249911612,-0.405465108,0.4771366626,-0.249523095,0.3153443743,1.1600209168,-0.215621051,-0.518830193,-0.542950286,0.1757472812,-0.515705162,0.0236808177,0.9348753628,-0.582205937,1950609
32,19156,9329,3243,7625,1796,854,17193,0.2205947675,1,0.220450666,0.7709013582,0,0,1,-0.378422941,-0.405465108,0.4745063866,-0.250269429,0.3992244657,1.1600209168,-0.378060855,-0.530929784,-0.542952158,0.1757824554,-0.515730755,0.023709505,0.9348753628,-0.582239665,1754797
33,20261,4605,2633,19350,2044,707,5590,1,0,0,0.2320872158,0,0,0,-0.380714504,-0.132013959,0.5678446841,-0.25093201,0.402934866,1.2178443739,-0.23231631,-0.532345244,-0.552990901,0.3130351291,-0.515687025,0.0237098731,0.9612320553,-0.582215276,1828972
34,13119,7151,2385,11420,1972,656,4976,0,0,0,0,0,0,0,-0.11044564,-0.131238949,0.5687410292,-0.251224615,0.4039772106,1.2179306884,-0.234721676,-0.534717268,-0.553013693,0.3100340804,-0.515733311,0.0237099765,0.9612310029,-0.582215852,1836726
35,19203,10414,2495,5286,2723,602,3274,1,0,0,0.7726952465,0,0,0,-0.37488954,-0.345380621,0.5697308597,-0.251064082,0.3293037471,1.218104864,-0.234155887,-0.544420357,-0.553000216,0.3350725208,-0.515759079,0.0237292218,0.9775753447,-0.58220754,2005393
36,19376,11658,2545,5108,1940,693,3528,1,0,0,0,0,0,0,-0.376261911,-0.354331092,0.5706073907,-0.251747179,0.3293037471,1.2193871191,-0.233107321,-0.552698898,-0.527042586,0.3349728408,-0.515691444,0.0237292218,0.9775755972,-0.582208816,1916922
37,24274,9496,3113,4324,1531,926,3336,1,0.3328737215,0,0,0,0,0,-0.363699172,-0.352110615,0.5716434356,-0.110489925,0.4067370376,1.2221730351,-0.21661292,-0.552626041,-0.537889969,0.3355736927,-0.515764071,0.0237102503,0.987670177,-0.582193219,1991256
38,21080,12932,3467,5690,1959,925,6700,1,0.6942179794,0,0,0,0,0,-0.363182733,-0.345473545,0.5719391154,-0.107798201,0.4070797486,1.2226179735,-0.213396904,-0.552064447,-0.5049794,0.3363851733,-0.515687734,0.0237102843,0.9876701579,-0.58224466,1947663
39,10791,7917,2996,6342,2783,986,22557,0,0,0,0,0,0,0,-0.097541047,-0.119308181,0.5723183169,-0.11068516,0.4076356038,1.2230415851,-0.377470337,-0.552031352,-0.498392887,0.3361411996,-0.515683094,0.0237103394,0.9876701709,-0.58225065,1923901
40,13746,7837,3021,47862,3932,998,5443,0,1,0,0,0,0,0,-0.09750192,-0.169331542,0.571147223,-0.371063681,0.3293037471,1.2214881978,-0.221818947,-0.552136291,-0.496999192,0.3363279232,-0.515764102,0.0237292218,0.9876701017,-0.582237023,1988756
41,58387,7326,2638,3849,3961,844,5397,0.7671454318,0.6937426418,0,0,0,0,0,-0.24897839,-0.168524325,0.5720503727,-0.108015891,0.3293037471,1.2224593732,-0.218382283,-0.552057852,-0.497300172,0.3366297347,-0.515756336,0.0237292218,0.9876700562,-0.582180153,1936070
42,20347,10814,3060,5359,4500,1151,7243,0.7655125846,0.3087967945,0,0,0,0,0,-0.248983515,-0.168062923,0.5721701824,-0.107336788,0.3293037471,1.2222269409,-0.213791884,-0.539553488,-0.486455052,0.3508740716,-0.645110155,0.0237292218,0.9458849615,-0.582232024,2280015
43,7104,7319,3010,96452,3636,1406,5815,0,1,0,0.2329956454,1,1,0,-0.09718885,-0.170784444,0.5723996121,-0.527632742,0.3293037471,1.1834434293,-0.219216607,-0.539570699,-0.490279521,0.350849164,-0.645137309,0.0237292218,0.9458647824,-0.582211164,1923100
44,14352,8944,2983,3962,2774,1339,18750,0,0.3083418458,0,0,0,1,0,-0.092328603,-0.167972927,0.5721579813,-0.10722107,0.4074153514,1.1831858062,-0.298958951,-0.539569575,-0.499358568,0.2103013846,-0.645107458,0.0237103176,0.9376506868,-0.582241297,1903706
45,32098,8198,3352,3814,2890,1429,9970,0.2319650152,0.3061204916,0,0,0,0,0,-0.249656275,-0.165858667,0.5723430005,-0.105469322,0.4076116097,1.1831780877,-0.296782385,-0.518783031,-0.478290183,0.2104504994,-0.645034919,0.1756564955,0.937650679,-0.582232673,1957019
46,18533,7817,2936,4092,2549,1326,20031,0,0.6924595127,0,0,0,1,0,-0.24976957,-0.166275195,0.5725452354,-0.105748463,0.4076949969,1.1831986433,-0.377059954,-0.55553313,-0.476810761,0.1938921767,-0.645065318,0.1756564635,0.9368830569,-0.582249677,1928595
47,23175,6691,4063,3728,2167,1178,11585,0,0.6955250348,0,0,0,1,0,-0.249897298,-0.169761396,0.5696129439,-0.111190185,0.4053000603,1.1811089472,-0.377336375,-0.555542178,-0.491147059,0.1938807458,-0.645054086,0.1756573819,0.9368825435,-0.582246675,1927308
48,29401,6107,5740,3533,2019,1023,7023,0.7691447653,0,0.2246913941,0,0,0,0,-0.407880968,-0.116571784,0.4774479147,-0.10874883,0.4066636685,1.2215640616,-0.377170621,-0.553188599,-0.502819348,0.1939167997,-0.645019033,0.175656859,0.9369077566,-0.582237666,1857573
49,28680,18900,4696,9999,2830,1642,3841,0.7650537107,1,0.7759928299,0,0,0,0,-0.406934619,-0.250020036,0.4771895915,-0.107263707,0.406076959,1.1600209168,-0.212495374,-0.552867797,-0.476907081,0.1924436942,-0.645114747,0.0998590887,0.9352510437,-0.582185425,1941010
50,17590,4044,4256,55038,5884,1266,2943,1,0,1,0.7678633941,1,1,0,-0.410238448,-0.118543592,0.4776339826,-0.371063681,0.2546422184,1.1600209168,-0.215373936,-0.555400767,-0.491796331,0.1924393773,-0.645143351,0.0420676184,0.9352510437,-0.582175771,1946640
51,80633,3976,3047,16683,4716,1303,3400,1,0,1,1,1,0,0,-0.371063681,-0.111612983,0.4775320441,-0.371063681,0.2546422184,1.1600209168,-0.204801795,-0.511797565,-0.492950074,0.1920000707,-0.645143142,0.0392187901,0.9352510437,-0.582153986,2048424
52,6454,57381,3401,8021,3069,1051,5238,0.7655470613,0.3084499232,0.7702444709,0.2327315279,1,1,0,-0.090390921,-0.405465108,0.4769838584,-0.371063681,0.2546422184,1.1600209168,-0.209146969,-0.510824711,-0.510264255,0.1783348317,-0.64515018,0.0392187901,0.9352510437,-0.582238994,1821132
53,13293,23322,2480,3711,1538,862,17044,0,1,0,0,0,0,0.6418386247,-0.09056744,-0.405465108,0.5715478275,-0.106462675,0.4067314513,1.221583201,-0.381766332,-0.512505781,-0.518366767,0.1783209225,-0.64504163,0.0391836305,0.9353129127,-0.591969582,1866621
54,383471,9670,1559,2015,2170,772,3439,0.2333468165,1,0,0,0,0,0.3525945433,-0.249877148,-0.405465108,0.5716650728,-0.10428542,0.4069106891,1.2213861282,-0.376770469,-0.591357658,-0.520728298,0.1783301751,-0.645094428,0.0391837355,0.9353131239,-0.588052018,1916256
55,17144,14002,1503,7702,3829,931,4658,0.7673868409,1,0,0,1,0,0,-0.249209085,-0.405465108,0.5712183088,-0.101092739,0.3155901492,1.2215147645,-0.204554815,-0.604603678,-0.520761414,0.1785411479,-0.645096317,0.0392509562,0.9353132646,-0.58822369,2033433
56,9210,3667,1423,24034,3926,849,4789,0,0,0,0.2318458701,1,0,0,-0.089461031,-0.115176356,0.5707081676,-0.249694025,0.315308313,1.2202990375,-0.208446745,-0.604622097,-0.530815966,0.1787017051,-0.645153121,0.0392511058,0.9353145382,-0.588181873,1878402
57,16391,4149,2009,26278,3576,795,3711,0,0,0.2582358674,0.2328652639,0,0,0,-0.088922616,-0.112554681,0.5247285289,-0.249724084,0.3162449696,1.2223872627,-0.205059988,-0.604628986,-0.551752151,0.1787744954,-0.645164831,0.0392506087,0.9353119393,-0.58836225,1884862
58,76744,4644,1122,5191,3375,946,2238,1,0.5911037851,1,0,1,0,0,-0.375186587,-0.327252589,0.5247285289,-0.249569517,0.3157189046,1.2219172725,-0.209369798,-0.61232287,-0.600927912,0.1788579891,-0.645156142,0.031454096,0.9353124625,-0.588523451,1908455
59,32381,8954,914,3427,3356,926,12181,0.2339284647,0.3038178866,0.8511430582,0,0,0,0.3595983481,-0.371063681,-0.326417487,0.5247285289,-0.103094473,0.4074443697,1.2219110001,-0.378534541,-0.611036999,-0.612939906,0.1788672681,-0.64499391,0.1105964851,0.935312514,-0.588001286,1999585
60,19889,31992,442,3548,6361,1018,3419,0.7667995853,1,0.1394939597,0,1,0,0,-0.371063681,-0.330062169,0.5247285289,-0.103870289,0.3293037471,1.2221848104,-0.206152734,-0.612914508,-0.618455255,0.1788752095,-0.644983268,0.1106501011,0.9353121798,-0.588413485,1829677
61,8031,18364,267,4343,4406,959,4184,0,0.6906068004,0,0,1,0,0,-0.087219331,-0.321971269,0.5530039596,-0.101252481,0.3293037471,1.2245697686,-0.20355699,-0.612915077,-0.618689914,0.1788833123,-0.645086964,0.1106501011,0.9353092597,-0.587993213,1740329
62,10506,6309,225,5180,4803,1105,8041,0,0,0,0,1,0,0,-0.091041134,-0.11399607,0.549981673,-0.104528509,0.3293037471,1.2238156264,-0.207494949,-0.586688628,-0.708711847,0.1788882563,-0.645080167,0.1106501011,0.9353101634,-0.58800266,2377478
63,11763,3974,158,3598,3615,716,5640,0,0,0,0,0,0,0,-0.088767779,-0.111887751,0.5630441093,-0.102447175,0.3293037471,1.2243287014,-0.205346256,-0.57931741,-0.709396611,0.1788933323,-0.640534899,0.1106501011,0.9353093159,-0.500307309,1686361
64,17063,7073,159,5575,5055,1142,9192,0,0,0,0,0,0,0,-0.106822421,-0.112470403,0.5533572255,-0.102904149,0.3293037471,1.2250779771,-0.205960903,-0.579322554,-0.612094402,0.1787298933,-0.640533906,0.118706165,0.9353083885,-0.500227794,2069503
65,12586,5752,117,4694,4299,767,7500,0,0,0,0,1,0,0,-0.106932638,-0.112563627,0.5536395277,-0.102970914,0.3293037471,1.2225527382,-0.206199297,-0.579336274,-0.725146494,0.1789189608,-0.640533761,0.118706165,0.9353118738,-0.500314072,1997131
66,12834,6299,100,4937,4491,519,8300,0,0,0,0,1,0,0,-0.105959207,-0.111506266,0.5558171525,-0.102114001,0.3293037471,1.2133623724,-0.210910013,-0.572464018,-0.724812052,0.1789288779,-0.640535623,0.118706165,0.9353240548,-0.50070151,2136640
67,9183,4915,56,3821,3528,204,5993,0,0,0,0,0,0,0,-0.108469079,-0.113676406,0.5816887689,-0.104275245,0.3293037471,1.2087814996,-0.214180204,-0.57245589,-0.724746753,0.178866869,-0.640536897,0.1195698827,0.9353297444,-0.50059108,2065704
68,10049,5750,52,4513,3907,137,7030,0,0,0,0,1,0,0,-0.104088933,-0.109399717,0.5567095817,-0.099549943,0.3293037471,1.2057901934,-0.230156789,-0.574112129,-0.511620026,0.1787633518,-0.640538082,0.1195698827,0.9353310448,-0.480046033,1903647
69,15590,8060,68,6502,4696,200,10086,0,0,0,0,1,0,0.6285381564,-0.107622406,-0.112955784,0.573593214,-0.103153415,0.3293037471,1.206217106,-0.235108557,-0.537129425,-0.512248774,0.1789248396,-0.640538299,0.1204094716,0.9353311889,-0.480055582,2026257
70,12793,10269,55,5792,3485,78,8124,0,0,0,0,0,0,0,-0.106601866,-0.112319525,0.5791917928,-0.103322773,0.4108752672,1.2147893571,-0.2305497,-0.536391957,-0.541780093,0.1784605555,-0.640532997,0.1204221904,0.9353211036,-0.479598622,1827170
71,36307,13105,43,4548,3283,49,5633,0.2331980096,0.2795617746,0,0,0,0,0,-0.249742657,-0.231660853,0.5545799233,-0.102545097,0.4095017761,1.2099032946,-0.229236325,-0.536379771,-0.54106381,0.1789739997,-0.640534686,0.1204216337,0.9353275614,-0.457148268,1893600
72,115739,7422,22,3470,3259,31,2941,0.766876741,0.8968244626,0,0,0,0,0,-0.527632742,-0.232282234,0.5741646505,-0.102980209,0.4097532209,1.2133326262,-0.220445623,-0.537209955,-0.542794888,0.17845678,-0.640533741,0.1204217356,0.9353243213,-0.454524084,1828941
73,14196,12554,19,5679,4513,26,6973,0,0.2765893908,0,0,0,0,0,-0.106461451,-0.231721508,0.5364933705,-0.102539889,0.4093672824,1.2027374129,-0.22245898,-0.536419711,-0.544263035,0.1789609162,-0.640534697,0.1204215792,0.9353349166,-0.45796697,2139977
74,442490,4292,8,3538,6839,21,4798,0.2322977416,0.0898880331,0,0,1,0,0,-0.83256949,-0.111506266,0.5364933705,-0.102114001,0.3293037471,1.2227474814,-0.221837325,-1.330863866,-0.544575762,0.1789609162,-0.640535623,0.1204328551,0.9353145595,-0.456633808,1856575
75,11683,6687,1309,3596,5720,456,73359,1,0,0,0,0,0,1,-0.102429745,-0.10721803,0.5799708982,-0.097907083,0.3293037471,1.227559602,-0.713349888,-0.50416106,-0.544713937,0.177269044,-0.460106239,0.1204328551,1.0072282787,-1.092023768,1824347
76,6543,579037,1625,15710,5759,594,6264,0,0.3568561599,0,0,1,0,0,-0.104076984,-1.237874356,0.578237042,-0.100805271,0.3293037471,1.2260001728,-0.222649085,-0.504161481,-10.44821473,0.1772680327,-0.612485655,0.1204328551,1.0072273964,-0.431572316,1841546
77,5065,3930,2108,160799,3959,627,1764,0,0,0,0.7686366979,1,0,0,-0.104076984,-0.110094106,0.5766810795,-0.527632742,0.3293037471,1.2266945443,-0.224882942,-0.504161481,-0.49391292,0.1772671252,-0.612537249,0.1204328551,1.0072278738,-0.431763615,1979772
78,8020,9463,1647,8744,2696,624,6123,0,0,0,0,0,0,0,-0.106399893,-0.11205689,0.5759553458,-0.102520043,0.4095381739,1.2260390174,-0.227601504,-0.50416277,-0.494679785,0.177266702,-0.612484589,0.1204216485,1.0072269514,-0.431690676,1739408
79,9602,49344,1791,5906,2969,636,3297,0.2305279671,1,0,0,0,0,0,-0.09969531,-0.413751699,0.5772850031,-0.095994467,0.410792258,1.2276878575,-0.222111577,-0.504161,-0.497536573,0.1730630369,-0.612486338,0.1204221567,1.0042857453,-0.566353102,2079329
80,40082,14712,2365,4880,2498,657,2934,1,0.7857789147,0,0,0,0,0,-0.376333501,-0.405465108,0.5750460336,-0.105803529,0.4085794604,1.2273510544,-0.230579169,-0.511437089,-0.512587144,0.1736525636,-0.612485447,0.1204212599,1.0068540142,-0.567614378,1949407
81,23664,4988,5163,7796,2639,671,4269,0.7673911334,0,1,0.2314670565,0,0,0,-0.371063681,-0.114125975,0.4637340162,-0.102479429,0.40947323,1.2277865804,-0.227485477,-0.504138036,-0.519552992,0.173696399,-0.612485712,0.1204216222,1.0068540775,-0.544248432,2081038
82,9063,7153,3323,9471,3178,740,6697,0,0.0810454953,1,0,0,0,0,-0.103234793,-0.102944894,0.4637340162,-0.193704308,0.3990994024,1.2274040561,-0.224595801,-0.504159337,-0.519523508,0.1736871707,-0.612490499,0.1144594016,1.0068540574,-0.544564615,1879900
83,8813,6024,2015,11424,2951,721,12715,0.7696377488,0,0,0,0,0,0.5824077891,-0.101987275,-0.089876393,0.574289834,-0.191412056,0.4092479297,1.2274047358,-0.328179693,-0.50416146,-0.519655519,0.1736279185,-0.612491149,0.1204215309,1.0068539718,-0.544398225,1949700
84,10811,4598,2064,27373,3248,723,6649,0,0,0,0.2314670565,0,0,0.7362898848,-0.101034101,-0.089443867,0.5745214352,-0.322746414,0.40947323,1.2261022378,-0.327619253,-0.504161303,-0.519683138,0.1736427495,-0.612440286,0.1204216222,1.0079227223,-0.542065152,1984531
85,30179,4415,2565,13385,4326,807,5351,1,0,0,0.2312070626,1,0,0.617704424,-0.247868662,-0.088092544,0.5738218586,-0.322417615,0.366312852,1.2268752041,-0.224180732,-0.504147626,-0.519799436,0.1736377466,-0.612440312,0.120432965,1.0079230444,-0.544582257,1966961
86,29679,11405,3404,11055,3932,726,4677,0.7660325739,0,0.779659859,0.2367147968,0,0,0,-0.247986651,-0.088634957,0.5018504876,-0.242305717,0.3664686632,1.2283515926,-0.218574145,-0.504147847,-0.519993132,0.1736965377,-0.612502876,0.1204334994,1.0079229312,-0.542630507,2138785
87,9039,41034,3335,8159,2948,824,3509,0,1,1,0.2325153471,0,0,0.1262788783,-0.248750054,-0.371063681,0.5013238196,-0.246160197,0.3663344494,1.2262424969,-0.222527738,-0.504149283,-0.520417941,0.1736728167,-0.612501663,0.1204327891,1.0079231452,-0.545163634,2131352
88,7842,19608,3531,15235,2010,826,4628,0,0.9291374736,1,0.2314479771,0,0,0,-0.106784557,-0.371063681,0.5017549968,-0.23574682,0.4100120056,1.2271559262,-0.220195176,-0.504163051,-0.519827768,0.168345445,-0.612523336,0.1204218405,1.0082968273,-0.541980935,1993190
89,7426,6638,3021,12355,1764,810,4712,0,0,1,0.7691233524,0,0,0,-0.112704393,-0.181109073,0.5002360341,-0.237677827,0.4066380704,1.2236637266,-0.226356679,-0.504162716,-0.519458105,0.1684964796,-0.612522288,0.1204204732,1.0082954646,-0.541777289,2155019
